150,"03N","2W",",13,14,15,"
151,"06N","1E",",3,4,9,10,15,16,"
151,"03N","2W",",13,"
151,"03N","1W",",18,"
152,"05S","3E",",3,4,5,8,9,10,15,16,17,"
152,"04S","3E",",32,33,34,"
153,"06N","1E",",7,8,9,16,17,18,19,20,21,"
154,"03N","2W",",10,11,14,15,"
155,"02N","1E",",17,"
156,"07N","1E",",13,14,15,16,21,22,23,24,25,26,27,28,"
157,"02N","1W",",2,3,10,11,"
158,"03N","1W",",18,"
159,"07N","1E",",29,30,"
160,"02N","1E",",16,21,"
160,"07N","1E",",19,20,29,30,31,32,"
161,"02S","2W",",13,14,23,24,25,26,"
161,"02S","1W",",19,30,"
162,"03S","1E",",5,6,7,8,18,"
162,"03S","1W",",1,12,13,"
162,"02S","1W",",25,26,35,36,"
163,"06N","3E",",4,5,"
163,"07N","3E",",27,28,33,34,"
164,"06N","3E",",28,29,32,33,34,"
164,"05N","3E",",3,4,5,9,10,11,14,15,16,22,23,26,27,"
165,"01N","2E",",32,33,34,"
165,"01S","2E",",3,4,5,"
166,"06N","3E",",3,4,9,10,11,14,15,"
166,"07N","3E",",33,"
167,"07N","1E",",6,7,18,"
168,"02N","1E",",31,"
168,"01N","1W",",1,12,"
168,"01N","1E",",6,7,"
168,"02N","1W",",36,"
169,"02N","2W",",18,19,"
169,"02N","3W",",13,24,"
170,"02S","3W",",1,"
170,"02S","2W",",6,9,10,15,16,"
171,"01S","2W",",31,32,"
171,"02S","2W",",5,6,"
171,"02S","3W",",1,"
172,"06N","3E",",3,4,10,11,14,15,"
172,"07N","3E",",27,28,33,34,"
173,"02N","1W",",1,12,"
173,"02N","1E",",6,7,"
174,"01N","2E",",28,29,30,32,33,"
175,"06N","2E",",4,5,8,9,16,17,"
176,"05N","1E",",32,33,34,"
176,"04N","1E",",3,4,5,"
177,"02S","1W",",9,10,15,16,"
177,"02S","2W",",20,21,28,29,"
178,"03S","2W",",11,12,13,14,23,24,"
178,"01S","1W",",25,26,27,34,35,36,"
179,"03N","1W",",33,34,"
179,"02N","1W",",3,4,"
180,"05N","2E",",16,17,20,21,28,29,"
181,"03N","1W",",20,21,28,29,"
181,"02N","1W",",12,"
182,"05S","3E",",1,"
182,"04S","4E",",28,29,30,31,32,33,"
182,"05S","4E",",4,5,6,"
182,"04S","3E",",25,36,"
183,"03S","2E",",13,14,15,22,23,24,"
184,"02N","1W",",9,10,15,16,23,24,25,26,"
184,"07N","1E",",18,"
185,"02N","3E",",32,33,"
185,"01N","3E",",4,5,8,9,16,17,"
186,"04N","3E",",4,5,7,8,9,17,18,"
187,"04N","2E",",1,"
187,"04N","3E",",5,6,"
187,"05N","2E",",36,"
187,"05N","3E",",22,23,26,27,28,29,30,31,32,33,34,35,"
188,"05N","3E",",20,21,22,23,26,27,28,29,32,33,34,35,"
