  id   | map_id | trs_path  
  2547 |    374 | 1S.3E.31
  2567 |    376 | 6N.2E.17
  2568 |    376 | 6N.2E.20
  2574 |    377 | 1N.2E.17
  2581 |    378 | 1N.2E.21
  2583 |    378 | 1N.2E.23
  2587 |    379 | 6N.2E.19
  2588 |    379 | 6N.2E.30
  2597 |    380 | 6N.1E.36
  2599 |    381 | 1S.2E.3
  2601 |    381 | 1N.2E.33
  2602 |    381 | 1N.2E.34
  2609 |    382 | 8N.1E.31
  2619 |    383 | 6N.2E.19
  2632 |    385 | 6N.1E.9
  2636 |    385 | 6N.1E.16
  2655 |    386 | 1S.3E.31
  2659 |    387 | 2N.1E.21
  2660 |    387 | 2N.1E.22
  2663 |    387 | 2N.1E.27
  2664 |    387 | 2N.1E.28
  2671 |    388 | 3N.1E.28
  2673 |    388 | 3N.1E.33
  2694 |    391 | 8N.1W.23
  2700 |    392 | 1N.1E.12
  2704 |    392 | 1N.2E.17
  2705 |    392 | 1N.2E.18
  2707 |    393 | 1N.2E.21
  2709 |    393 | 1N.2E.23
  2711 |    394 | 2N.1E.4
  2713 |    394 | 2N.1E.6
  2715 |    394 | 2N.1E.8
  2716 |    394 | 2N.1E.9
  2724 |    395 | 1N.1E.6
  2764 |    399 | 2S.4E.16
  2766 |    399 | 2S.4E.20
  2767 |    399 | 2S.4E.21
  2775 |    400 | 4N.1W.17
  2791 |    402 | 1N.4E.15
  2792 |    402 | 1N.4E.22
  2794 |    403 | 2N.2W.2
  2797 |    403 | 2N.2W.11
  2798 |    404 | 3N.1W.18
  2799 |    405 | 2N.1E.27
  2803 |    405 | 2N.1E.31
  2804 |    405 | 2N.1E.32
  2805 |    405 | 2N.1E.33
  2806 |    405 | 2N.1E.34
  2807 |    406 | 2N.1W.2
  2810 |    406 | 3N.1W.35
  2851 |    410 | 2N.1W.1
  2852 |    410 | 2N.1W.2
  2854 |    410 | 2N.1W.12
  2855 |    410 | 3N.1W.35
  2903 |    412 | 4N.1E.18
  2948 |    415 | 9N.1W.35
  2960 |    417 | 2N.1W.1
  2961 |    417 | 2N.1W.12
  3011 |    420 | 3S.4E.18
  3041 |    423 | 2N.2E.30
  3047 |    424 | 1S.3E.36
  3050 |    425 | 3N.2W.35
  3059 |    427 | 3N.2W.13
  3063 |    428 | 3S.5E.2
  3071 |    431 | 2N.1W.15
  3074 |    432 | 7N.1E.26
  3097 |    434 | 2S.4E.16
  3139 |    438 | 4S.3E.24
  3176 |    442 | 4S.3E.14
  3179 |    442 | 4S.3E.24
  3200 |    446 | 2N.1E.21
  3225 |    448 | 7N.1E.10
  3286 |    456 | 3N.2E.10
  3291 |    457 | 4S.3E.14
  3494 |    465 | 6N.1E.8
  3495 |    465 | 6N.1E.9
  3496 |    465 | 6N.1E.16
  3500 |    466 | 3N.1W.19
  3502 |    466 | 3N.1W.29
  3503 |    466 | 3N.1W.30
  3506 |    467 | 2S.4E.5
  3513 |    467 | 1S.3E.36
  3529 |    468 | 2S.1E.22
  3532 |    468 | 2S.1E.27
  3537 |    469 | 1S.3E.33
  3538 |    469 | 1S.3E.34
  3540 |    470 | 2N.1E.20
  3542 |    471 | 3N.2W.2
  3561 |    473 | 4S.5E.28
  3565 |    474 | 4S.3E.24
  3569 |    475 | 3S.2E.18
  3578 |    476 | 2N.1W.30
  3589 |    478 | 3N.2W.11
  3591 |    479 | 5S.4E.5
  3611 |    482 | 4S.5E.28
  3635 |    484 | 5N.1W.24
  3636 |    484 | 5N.1W.25
  3643 |    485 | 4N.1W.32
  3681 |    489 | 5N.2E.31
  3682 |    490 | 5N.1W.23
  3683 |    490 | 5N.1W.26
  3684 |    490 | 5N.1W.27
  3685 |    491 | 5N.1W.23
  3695 |    493 | 3S.4E.9
  3705 |    495 | 2S.3E.10
  3706 |    495 | 2S.3E.11
  3710 |    495 | 2S.3E.24
  3777 |    501 | 6N.1E.29
  3797 |    503 | 11N.1E.22
  3800 |    503 | 11N.1E.27
  3837 |    507 | 2S.3E.21
  3843 |    508 | 10N.1E.4
  3935 |    513 | 5N.1W.22
  3975 |    516 | 7N.5E.20
  3983 |    517 | 1N.3E.17
  3984 |    517 | 1N.3E.18
  3999 |    519 | 6N.1E.5
  4000 |    519 | 6N.1E.6
  4001 |    519 | 7N.1E.31
  4002 |    519 | 7N.1E.32
  4036 |    523 | 4S.5E.29
  4111 |    528 | 9N.1W.13
  4112 |    528 | 9N.1W.24
  4116 |    529 | 4S.4E.7
  4131 |    531 | 1S.4E.2
  4132 |    531 | 1S.4E.11
  4135 |    532 | 10N.1E.4
  4142 |    533 | 1S.2E.9
  4145 |    533 | 1S.2E.16
  4204 |    538 | 3N.2W.26
  4207 |    539 | 6N.1E.5
  4208 |    539 | 6N.1E.6
  4228 |    542 | 1S.1W.23
  4234 |    543 | 3N.2W.4
  4235 |    543 | 3N.2W.9
  4236 |    543 | 3N.2W.10
  4242 |    544 | 2S.3E.12
  4269 |    547 | 2N.1W.33
  4270 |    547 | 2N.1W.34
  4281 |    549 | 6N.1E.20
  4347 |    554 | 2S.2E.2
  4352 |    555 | 3S.5E.4
  4353 |    555 | 3S.5E.5
  4357 |    556 | 5N.1W.28
  4358 |    556 | 5N.1W.33
  4371 |    558 | 1N.1E.6
  4379 |    559 | 3S.5E.5
  4477 |    565 | 4S.3E.14
  4481 |    565 | 4S.3E.24
  4558 |    571 | 5N.1W.25
  4563 |    572 | 2N.1E.30
  4564 |    572 | 2N.1E.31
  4587 |    575 | 6N.1E.20
  4598 |    577 | 4S.5E.29
  4615 |    579 | 2N.1E.9
  4616 |    579 | 2N.1E.16
  4617 |    579 | 2N.1E.17
  4632 |    581 | 2N.1E.11
  4698 |    586 | 3S.3E.25
  4730 |    589 | 4S.3E.24
  4787 |    591 | 2S.3E.19
  4788 |    591 | 2S.3E.20
  4800 |    593 | 2S.2E.2
  4831 |    596 | 2S.3E.17
  4832 |    596 | 2S.3E.18
  4836 |    597 | 3S.3E.10
  4842 |    598 | 3N.1W.35
  4844 |    599 | 4S.3E.24
  4851 |    600 | 2S.3E.29
  4856 |    601 | 3S.3E.10
  4857 |    601 | 3S.3E.11
  4884 |    603 | 7N.5E.5
  4885 |    603 | 7N.5E.6
  4891 |    604 | 8N.1W.23
  4904 |    606 | 6N.1E.12
  4905 |    606 | 6N.1E.13
  4955 |    609 | 9N.4E.10
  4956 |    609 | 9N.4E.11
  4963 |    610 | 1S.2E.20
  4969 |    611 | 1N.2E.26
  4973 |    612 | 2N.1W.12
  4976 |    613 | 5S.3E.1
  4983 |    613 | 4S.4E.31
  5031 |    617 | 9N.1E.19
  5035 |    618 | 1N.3E.30
  5049 |    620 | 5N.1E.28
  5052 |    620 | 5N.1E.33
  5056 |    621 | 1N.2E.23
  5061 |    622 | 1N.1E.6
  5085 |    625 | 2S.3E.14
  5090 |    626 | 1N.1E.6
  5098 |    627 | 1S.2W.33
  5101 |    628 | 5N.1E.3
  5102 |    628 | 5N.1E.4
  5103 |    628 | 6N.1E.33
  5106 |    629 | 3N.1W.17
  5109 |    630 | 11N.1E.20
  5114 |    631 | 1N.1E.24
  5115 |    631 | 1N.1E.25
  5116 |    631 | 1N.1E.26
  5136 |    633 | 1N.2E.30
  5142 |    634 | 1N.2E.33
  5143 |    634 | 1N.2E.34
  5205 |    639 | 1S.1E.11
  5225 |    641 | 1S.1E.24
  5261 |    644 | 1N.1E.22
  5266 |    645 | 1S.2E.4
  5270 |    646 | 2N.1W.25
  5271 |    646 | 2N.1W.26
  5274 |    647 | 1N.1E.6
  5276 |    648 | 2N.1W.2
  5284 |    648 | 3N.1W.35
  5286 |    649 | 2N.2W.11
  5299 |    650 | 1S.2E.10
  5392 |    655 | 4N.1W.4
  5393 |    655 | 5N.1W.33
  5428 |    657 | 2S.3E.17
  5434 |    658 | 1N.2E.32
  5435 |    659 | 4N.1W.21
  5436 |    659 | 4N.1W.22
  5449 |    661 | 5N.1W.25
  5450 |    661 | 5N.1W.26
  5451 |    661 | 5N.1W.35
  5452 |    661 | 5N.1W.36
  5453 |    662 | 5S.3E.23
  5454 |    662 | 5S.3E.24
  5473 |    664 | 5N.1E.3
  5474 |    664 | 5N.1E.4
  5476 |    664 | 6N.1E.20
  5477 |    664 | 6N.1E.21
